precinct,registered_voters,baker_electionDay,baker_Mail,baker_Provisional,baker_Total,cates_electionDay,cates_Mail,cates_Provisional,cates_Total,congemi_electionDay,congemi_Mail,congemi_Provisional,congemi_Total,kriseman_electionDay,kriseman_Mail,kriseman_Provisional,kriseman_Total,lassiter_electionDay,lassiter_mail,lassiter_provisional,lassiter_total,nevel_electionDay,nevel_mail,nevel_provisional,nevel_total,total,kriseman_margin,baker_margin,kriseman_share,baker_share,didNotVote,didNotVotePct,thirdParty,thirdPartyPct,turnout,regDem,regRep,regNPA,regOther,regDemPct,regRepPct,regNPAOtherPct
156,2475,90,365,0,455,1,5,0,6,0,2,0,2,83,292,0,375,1,2,0,3,0,6,0,6,847,-80,80,0.1515151515,0.1838383838,1628,0.6577777778,17,0.006868686869,0.3422222222,921,867,677,10,0.3721212121,0.3503030303,0.2775757576
157,787,26,105,0,131,0,2,0,2,0,2,0,2,19,89,0,108,1,0,0,1,0,0,0,0,244,-23,23,0.1372299873,0.166454892,543,0.6899618806,5,0.006353240152,0.3100381194,275,296,216,0,0.3494282084,0.376111817,0.2744599746
161,3580,57,198,0,255,1,3,0,4,0,2,0,2,80,219,0,299,0,1,0,1,4,5,0,9,570,44,-44,0.08351955307,0.07122905028,3010,0.8407821229,16,0.004469273743,0.1592178771,1268,1088,1189,35,0.3541899441,0.3039106145,0.3418994413
162,4681,79,215,0,294,2,9,0,11,1,2,0,3,100,244,0,344,1,4,0,5,6,18,0,24,681,50,-50,0.07348857082,0.0628070925,4000,0.8545182653,43,0.009186071352,0.1454817347,1990,1111,1549,31,0.425122837,0.2373424482,0.3375347148
165,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,5,10,2,0,0.2941176471,0.5882352941,0.1176470588
200,1699,52,346,0,398,0,1,0,1,0,4,0,4,40,215,0,255,0,2,0,2,1,1,0,2,662,-143,143,0.1500882872,0.2342554444,1037,0.6103590347,9,0.005297233667,0.3896409653,454,801,438,6,0.2672160094,0.4714537964,0.2613301942
201,2502,102,381,0,483,0,0,0,0,1,0,0,1,95,278,0,373,0,2,0,2,2,4,0,6,865,-110,110,0.1490807354,0.1930455635,1637,0.6542765787,9,0.003597122302,0.3457234213,938,937,611,16,0.3749000799,0.3745003997,0.2505995204
202,2133,97,468,0,565,0,0,0,0,0,3,0,3,75,310,0,385,0,2,0,2,2,11,0,13,968,-180,180,0.1804969526,0.2648851383,1165,0.5461790905,18,0.008438818565,0.4538209095,667,935,514,17,0.3127051102,0.4383497421,0.2489451477
203,1481,71,119,0,190,7,7,0,14,0,0,0,0,57,124,0,181,2,7,0,9,7,4,0,11,405,-9,9,0.1222147198,0.1282916948,1076,0.7265361242,34,0.02295746117,0.2734638758,1065,139,273,4,0.7191087103,0.09385550304,0.1870357866
204,769,50,55,0,105,0,1,0,1,0,0,0,0,27,38,0,65,0,0,0,0,3,4,0,7,178,-40,40,0.08452535761,0.1365409623,591,0.7685305592,8,0.01040312094,0.2314694408,618,21,127,3,0.8036410923,0.02730819246,0.1690507152
205,1725,88,112,0,200,9,8,0,17,0,0,0,0,56,77,0,133,2,11,0,13,13,5,0,18,381,-67,67,0.07710144928,0.115942029,1344,0.7791304348,48,0.02782608696,0.2208695652,1298,102,320,5,0.7524637681,0.05913043478,0.1884057971
211,743,52,77,0,129,0,1,0,1,0,0,0,0,48,76,0,124,0,1,0,1,0,0,0,0,255,-5,5,0.1668909825,0.1736204576,488,0.6567967699,2,0.00269179004,0.3432032301,270,270,197,6,0.3633916555,0.3633916555,0.2732166891
213,1232,67,111,0,178,0,0,0,0,1,0,0,1,57,133,0,190,0,1,0,1,2,1,0,3,373,12,-12,0.1542207792,0.1444805195,859,0.6972402597,5,0.004058441558,0.3027597403,540,349,335,8,0.4383116883,0.2832792208,0.2784090909
215,1401,91,288,0,379,0,1,0,1,1,0,0,1,43,157,0,200,0,3,0,3,2,1,0,3,587,-179,179,0.1427551749,0.2705210564,814,0.5810135617,8,0.005710206995,0.4189864383,286,790,320,5,0.2041399001,0.5638829408,0.2319771592
216,2137,106,261,0,367,0,1,0,1,2,2,0,4,136,217,0,353,3,2,0,5,3,1,0,4,734,-14,14,0.1651848386,0.1717360786,1403,0.6565278428,14,0.006551240056,0.3434721572,761,734,626,16,0.3561066916,0.3434721572,0.3004211511
217,15,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0.06666666667,0.06666666667,13,0.8666666667,0,0,0.1333333333,7,2,6,0,0.4666666667,0.1333333333,0.4
219,1342,71,155,0,226,1,2,0,3,0,0,0,0,79,161,0,240,0,2,0,2,2,2,0,4,475,14,-14,0.1788375559,0.1684053651,867,0.6460506706,9,0.006706408346,0.3539493294,578,390,364,10,0.4307004471,0.2906110283,0.2786885246
220,1088,48,106,0,154,1,5,0,6,1,3,0,4,79,135,0,214,0,4,0,4,2,5,0,7,389,60,-60,0.1966911765,0.1415441176,699,0.6424632353,21,0.01930147059,0.3575367647,511,277,295,5,0.4696691176,0.2545955882,0.2757352941
221,1922,55,182,0,237,0,1,0,1,0,3,0,3,99,216,0,315,0,8,0,8,1,4,0,5,569,78,-78,0.1638917794,0.1233090531,1353,0.7039542144,17,0.008844953174,0.2960457856,834,515,563,10,0.4339229969,0.267950052,0.2981269511
222,3668,164,479,0,643,0,4,0,4,0,5,0,5,187,463,0,650,2,3,0,5,6,9,0,15,1322,7,-7,0.1772082879,0.1752998909,2346,0.6395856052,29,0.007906215921,0.3604143948,1405,1297,941,25,0.38304253,0.3535986914,0.2633587786
223,110,4,13,0,17,0,0,0,0,0,0,0,0,10,17,0,27,0,0,0,0,0,1,0,1,45,10,-10,0.2454545455,0.1545454545,65,0.5909090909,1,0.009090909091,0.4090909091,44,27,38,1,0.4,0.2454545455,0.3545454545
224,1572,67,100,0,167,8,7,0,15,0,0,0,0,49,81,0,130,1,6,0,7,20,6,0,26,345,-37,37,0.08269720102,0.1062340967,1227,0.7805343511,48,0.03053435115,0.2194656489,1285,61,224,2,0.8174300254,0.03880407125,0.1437659033
225,1816,89,124,0,213,5,1,0,6,0,1,0,1,158,209,0,367,1,3,0,4,8,6,0,14,605,154,-154,0.202092511,0.1172907489,1211,0.6668502203,25,0.01376651982,0.3331497797,912,382,508,14,0.5022026432,0.2103524229,0.2874449339
226,830,54,76,0,130,4,1,0,5,0,1,0,1,60,68,0,128,3,3,0,6,4,1,0,5,275,-2,2,0.1542168675,0.156626506,555,0.6686746988,17,0.02048192771,0.3313253012,663,33,131,3,0.7987951807,0.03975903614,0.1614457831
227,2051,91,144,0,235,6,4,0,10,0,2,0,2,115,163,0,278,0,3,0,3,4,6,0,10,538,43,-43,0.1355436373,0.1145782545,1513,0.7376889322,25,0.01218917601,0.2623110678,1404,203,438,6,0.6845441248,0.09897610922,0.216479766
